"Contact Us", "Связаться с нами"
"Contact Us Form", "Форма обратной связи"
"Write Us", "Напишите Нам"
"And we’ll get back to you as quickly as possible.", "И мы в ближайшее время свяжемся с вами."
"Your Name:", "Ваше Имя:"
"Name","Имя"
"Your Email:", "Ваш Email:"
"Email", "Email"
"Your Phone:", "Ваш Телефона:"
"Phone", "Телефон"
"Your Question:", "Ваш Вопрос:"
"Question", "Вопрос"
"Submit", "Отправить"
"Contact Us Grid", "Заявки на обратную связь"
"Settings", "Настройки"
"General Configuration", "Главные настройки"
"Contact Us Form Enable", "Включить форму обратной связи"
"Will turn on\off the contact us form", "Вкл\выкл - формы обратной связи"
"Telephone", "Телефон"
"Modified", "Изменено"
"Created", "Создано"
"Grid List", "Список заявок на обратный звонок"
"Action", "Действие"
"Edit", "изменить"
"Back", "Назад"
"Save", "Сохранить"
"Callback Details", "Детали обратного звонка"
"Enable Knockout form type", "Включить Knockout форму"
"Switcher between manual form and knockout form", "Переключатель между стандартной формой и Knockout JS формой"
